Title,Title_link,name,index,count,mark-neww,Price
Intel Xeon E5-2690 v4 @ 2.60GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2690+v4+%40+2.60GHz&id=2780,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2690+v4+%40+2.60GHz&id=2780,(87.0%),94.5,"20,779",$219.99
AMD Ryzen 5 1600,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+1600&id=2984,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+1600&id=2984,(85.7%),93.1,"12,366",$132.80
AMD Ryzen 5 1600X,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+1600X&id=3000,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+1600X&id=3000,(78.0%),84.8,"13,053",$153.99
AMD Ryzen Threadripper 1900X,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+1900X&id=3086,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+1900X&id=3086,(77.1%),83.8,"16,734",$199.78
AMD Ryzen 5 2600X,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+2600X&id=3235,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+2600X&id=3235,(76.8%),83.4,"14,089",$168.99
Intel Core i5-10400F @ 2.90GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-10400F+%40+2.90GHz&id=3767,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-10400F+%40+2.90GHz&id=3767,(76.4%),83.0,"12,530",$150.99
AMD Ryzen 7 2700,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+2700&id=3240,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+2700&id=3240,(71.9%),78.1,"15,708",$201.00
Intel Core i3-10100 @ 3.60GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-10100+%40+3.60GHz&id=3717,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-10100+%40+3.60GHz&id=3717,(70.9%),77.0,"8,859",$114.99
Intel Core i5-11600K @ 3.90GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-11600K+%40+3.90GHz&id=4236,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-11600K+%40+3.90GHz&id=4236,(70.6%),76.7,"19,861",$258.99
AMD Ryzen 5 3600,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+3600&id=3481,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+3600&id=3481,(70.6%),76.6,"17,865",$233.11
Intel Core i5-11500 @ 2.70GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-11500+%40+2.70GHz&id=4238,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-11500+%40+2.70GHz&id=4238,(69.9%),75.9,"17,462",$229.99
AMD Ryzen 5 1400,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+1400&id=2992,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+1400&id=2992,(69.2%),75.2,"7,811",$103.94
Intel Core i5-11400F @ 2.60GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-11400F+%40+2.60GHz&id=4226,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-11400F+%40+2.60GHz&id=4226,(68.5%),74.4,"17,922",$240.95
AMD Ryzen 5 5600X,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+5600X&id=3859,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+5600X&id=3859,(68.3%),74.2,"22,196",$299.00
AMD Ryzen 7 3700X,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+3700X&id=3485,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+3700X&id=3485,(67.9%),73.8,"22,801",$308.99
Intel Core i5-10400 @ 2.90GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-10400+%40+2.90GHz&id=3737,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-10400+%40+2.90GHz&id=3737,(67.3%),73.1,"12,427",$169.99
Intel Core i5-10600KF @ 4.10GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-10600KF+%40+4.10GHz&id=3810,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-10600KF+%40+4.10GHz&id=3810,(67.1%),72.9,"14,581",$199.99
