Title,Title_link,name,index,count,mark-neww,price-neww
GIGABYTE GP-GSM2NE3256GNTD,https://www.harddrivebenchmark.net/hdd.php?hdd=GIGABYTE%20GP-GSM2NE3256GNTD&id=24847,https://www.harddrivebenchmark.net/hdd.php?hdd=GIGABYTE%20GP-GSM2NE3256GNTD&id=24847,(86%),321.2,"12,826",39.93
Samsung SSD 970 EVO 500GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Samsung%20SSD%20970%20EVO%20500GB&id=15854,https://www.harddrivebenchmark.net/hdd.php?hdd=Samsung%20SSD%20970%20EVO%20500GB&id=15854,(85%),316.3,"19,775",62.53
WD Black NVMe 500GB,https://www.harddrivebenchmark.net/hdd.php?hdd=WD%20Black%20NVMe%20500GB&id=15778,https://www.harddrivebenchmark.net/hdd.php?hdd=WD%20Black%20NVMe%20500GB&id=15778,(79%),294.6,"20,619",69.99
PNY CS3030 500GB SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=PNY%20CS3030%20500GB%20SSD&id=23379,https://www.harddrivebenchmark.net/hdd.php?hdd=PNY%20CS3030%20500GB%20SSD&id=23379,(75%),277.2,"18,015",64.99
CT500P2SSD8,https://www.harddrivebenchmark.net/hdd.php?hdd=CT500P2SSD8&id=25949,https://www.harddrivebenchmark.net/hdd.php?hdd=CT500P2SSD8&id=25949,(74%),273.4,"15,856",57.99
Lexar 250GB SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=Lexar%20250GB%20SSD&id=24837,https://www.harddrivebenchmark.net/hdd.php?hdd=Lexar%20250GB%20SSD&id=24837,(73%),271.4,"10,851",39.99
Samsung SSD 980 500GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Samsung%20SSD%20980%20500GB&id=28084,https://www.harddrivebenchmark.net/hdd.php?hdd=Samsung%20SSD%20980%20500GB&id=28084,(72%),268.5,"18,791",69.99
HP SSD EX900 250GB,https://www.harddrivebenchmark.net/hdd.php?hdd=HP%20SSD%20EX900%20250GB&id=15551,https://www.harddrivebenchmark.net/hdd.php?hdd=HP%20SSD%20EX900%20250GB&id=15551,(72%),267.1,"10,682",39.99
WD Blue SN550 NVMe SSD 500GB,https://www.harddrivebenchmark.net/hdd.php?hdd=WD%20Blue%20SN550%20NVMe%20SSD%20500GB&id=25305,https://www.harddrivebenchmark.net/hdd.php?hdd=WD%20Blue%20SN550%20NVMe%20SSD%20500GB&id=25305,(72%),266.4,"15,983",59.99
HP SSD EX920 256GB,https://www.harddrivebenchmark.net/hdd.php?hdd=HP%20SSD%20EX920%20256GB&id=16377,https://www.harddrivebenchmark.net/hdd.php?hdd=HP%20SSD%20EX920%20256GB&id=16377,(71%),263.2,"13,158",49.99
GIGABYTE GP-AG4500G,https://www.harddrivebenchmark.net/hdd.php?hdd=GIGABYTE%20GP-AG4500G&id=26788,https://www.harddrivebenchmark.net/hdd.php?hdd=GIGABYTE%20GP-AG4500G&id=26788,(69%),256.2,"25,619",99.99
NVME SSD 128GB,https://www.harddrivebenchmark.net/hdd.php?hdd=NVME%20SSD%20128GB&id=26273,https://www.harddrivebenchmark.net/hdd.php?hdd=NVME%20SSD%20128GB&id=26273,(68%),253.6,"7,605",29.99
Samsung SSD 980 PRO 500GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Samsung%20SSD%20980%20PRO%20500GB&id=26894,https://www.harddrivebenchmark.net/hdd.php?hdd=Samsung%20SSD%20980%20PRO%20500GB&id=26894,(68%),253.3,"30,393",119.99
Samsung PM961 256GB NVMe,https://www.harddrivebenchmark.net/hdd.php?hdd=Samsung%20PM961%20256GB%20NVMe&id=12734,https://www.harddrivebenchmark.net/hdd.php?hdd=Samsung%20PM961%20256GB%20NVMe&id=12734,(67%),248.6,"14,665",59.00
HP SSD EX920 512GB,https://www.harddrivebenchmark.net/hdd.php?hdd=HP%20SSD%20EX920%20512GB&id=15768,https://www.harddrivebenchmark.net/hdd.php?hdd=HP%20SSD%20EX920%20512GB&id=15768,(66%),245.0,"17,635",71.99
Corsair Force MP510 240GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Corsair%20Force%20MP510%20240GB&id=16704,https://www.harddrivebenchmark.net/hdd.php?hdd=Corsair%20Force%20MP510%20240GB&id=16704,(62%),229.5,"11,241",48.99
GIGABYTE GP-GSM2NE3512GNTD,https://www.harddrivebenchmark.net/hdd.php?hdd=GIGABYTE%20GP-GSM2NE3512GNTD&id=24720,https://www.harddrivebenchmark.net/hdd.php?hdd=GIGABYTE%20GP-GSM2NE3512GNTD&id=24720,(61%),227.3,"15,912",69.99
HP SSD EX950 512GB,https://www.harddrivebenchmark.net/hdd.php?hdd=HP%20SSD%20EX950%20512GB&id=22997,https://www.harddrivebenchmark.net/hdd.php?hdd=HP%20SSD%20EX950%20512GB&id=22997,(61%),227.3,"17,731",77.99
Mushkin Pilot 500GB PCIe NVMe,https://www.harddrivebenchmark.net/hdd.php?hdd=Mushkin%20Pilot%20500GB%20PCIe%20NVMe&id=16076,https://www.harddrivebenchmark.net/hdd.php?hdd=Mushkin%20Pilot%20500GB%20PCIe%20NVMe&id=16076,(61%),226.9,"15,426",67.99
Corsair Force MP510 480GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Corsair%20Force%20MP510%20480GB&id=22342,https://www.harddrivebenchmark.net/hdd.php?hdd=Corsair%20Force%20MP510%20480GB&id=22342,(61%),226.7,"16,545",72.99
Force MP600,https://www.harddrivebenchmark.net/hdd.php?hdd=Force%20MP600&id=24464,https://www.harddrivebenchmark.net/hdd.php?hdd=Force%20MP600&id=24464,(61%),226.4,"24,904",109.99
GIGABYTE GP-ASM2NE6500GTTD,https://www.harddrivebenchmark.net/hdd.php?hdd=GIGABYTE%20GP-ASM2NE6500GTTD&id=24465,https://www.harddrivebenchmark.net/hdd.php?hdd=GIGABYTE%20GP-ASM2NE6500GTTD&id=24465,(58%),214.8,"22,553",104.99
Patriot P300 512GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Patriot%20P300%20512GB&id=26922,https://www.harddrivebenchmark.net/hdd.php?hdd=Patriot%20P300%20512GB&id=26922,(56%),209.6,"12,155",57.99
Lexar 500GB SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=Lexar%20500GB%20SSD&id=25373,https://www.harddrivebenchmark.net/hdd.php?hdd=Lexar%20500GB%20SSD&id=25373,(56%),207.3,"12,439",59.99
Viper M.2 VPN100 1TB,https://www.harddrivebenchmark.net/hdd.php?hdd=Viper%20M.2%20VPN100%201TB&id=23457,https://www.harddrivebenchmark.net/hdd.php?hdd=Viper%20M.2%20VPN100%201TB&id=23457,(55%),206.3,"28,879",139.99
NVME SSD 512GB,https://www.harddrivebenchmark.net/hdd.php?hdd=NVME%20SSD%20512GB&id=25577,https://www.harddrivebenchmark.net/hdd.php?hdd=NVME%20SSD%20512GB&id=25577,(55%),204.1,"11,883",58.22
HP SSD EX900 120GB,https://www.harddrivebenchmark.net/hdd.php?hdd=HP%20SSD%20EX900%20120GB&id=22444,https://www.harddrivebenchmark.net/hdd.php?hdd=HP%20SSD%20EX900%20120GB&id=22444,(53%),199.1,"8,757",43.99
HP SSD EX900 500GB,https://www.harddrivebenchmark.net/hdd.php?hdd=HP%20SSD%20EX900%20500GB&id=16187,https://www.harddrivebenchmark.net/hdd.php?hdd=HP%20SSD%20EX900%20500GB&id=16187,(52%),195.3,"12,304",62.99
Gigabyte AORUS NVMe Gen4 M.2 1TB,https://www.harddrivebenchmark.net/hdd.php?hdd=Gigabyte%20AORUS%20NVMe%20Gen4%20M.2%201TB&id=23948,https://www.harddrivebenchmark.net/hdd.php?hdd=Gigabyte%20AORUS%20NVMe%20Gen4%20M.2%201TB&id=23948,(51%),188.7,"30,194",159.99
PNY CS3030 1TB SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=PNY%20CS3030%201TB%20SSD&id=23400,https://www.harddrivebenchmark.net/hdd.php?hdd=PNY%20CS3030%201TB%20SSD&id=23400,(47%),177.0,"23,004",129.99
Micron MTFDHBA512TCK,https://www.harddrivebenchmark.net/hdd.php?hdd=Micron%20MTFDHBA512TCK&id=24354,https://www.harddrivebenchmark.net/hdd.php?hdd=Micron%20MTFDHBA512TCK&id=24354,(46%),173.4,"17,338",99.99
Viper M.2 VP4100,https://www.harddrivebenchmark.net/hdd.php?hdd=Viper%20M.2%20VP4100&id=24988,https://www.harddrivebenchmark.net/hdd.php?hdd=Viper%20M.2%20VP4100&id=24988,(46%),173.4,"31,210",179.99
CT1000P5SSD8,https://www.harddrivebenchmark.net/hdd.php?hdd=CT1000P5SSD8&id=26467,https://www.harddrivebenchmark.net/hdd.php?hdd=CT1000P5SSD8&id=26467,(46%),171.5,"24,831",144.77
MKNSSDPE1TB-D8,https://www.harddrivebenchmark.net/hdd.php?hdd=MKNSSDPE1TB-D8&id=24148,https://www.harddrivebenchmark.net/hdd.php?hdd=MKNSSDPE1TB-D8&id=24148,(44%),163.8,"18,836",114.99
