Title,Title_link,name,index,count,mark-neww,price-neww
GeForce GTX 1650 SUPER,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1650+SUPER&id=4167,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1650+SUPER&id=4167,(86%),61.9,9897,159.99
Radeon RX 590,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+590&id=4025,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+590&id=4025,(84%),60.1,9609,159.99
GeForce GTX 570,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+570&id=15,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+570&id=15,(81%),58.3,3840,65.89
GeForce GTX 1650,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1650&id=4078,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1650&id=4078,(77%),55.4,7762,139.99
Quadro M600M,https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+M600M&id=3397,https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+M600M&id=3397,(75%),53.6,2142,39.99
GeForce GTX 1660 SUPER,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1660+SUPER&id=4159,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1660+SUPER&id=4159,(74%),52.8,12676,239.99
Radeon RX 5600 XT,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+5600+XT&id=4186,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+5600+XT&id=4186,(71%),50.9,13742,269.99
Radeon RX 5500 XT,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+5500+XT&id=4174,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+5500+XT&id=4174,(71%),50.7,9132,179.99
Radeon RX 5700,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+5700&id=4107,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+5700&id=4107,(66%),47.2,14619,309.99
Radeon RX 5700 XT,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+5700+XT&id=4111,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+5700+XT&id=4111,(65%),46.7,16823,359.99
GeForce GTX 1660 Ti,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1660+Ti&id=4045,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1660+Ti&id=4045,(55%),39.7,11917,299.99
GeForce GTX 1050 Ti,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1050+Ti&id=3595,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1050+Ti&id=3595,(55%),39.6,6338,159.99
GeForce RTX 3060 Ti,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3060+Ti&id=4318,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3060+Ti&id=4318,(54%),38.6,19689,509.99
GeForce RTX 2070,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2070&id=4001,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2070&id=4001,(53%),38.3,16105,419.99
GeForce GTX 760,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+760&id=2561,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+760&id=2561,(53%),38.3,4786,125.00
GeForce RTX 2060 SUPER,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2060+SUPER&id=4117,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2060+SUPER&id=4117,(53%),38.3,16464,429.99
Radeon RX 570,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+570&id=3741,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+570&id=3741,(50%),35.7,6967,194.99
GeForce RTX 2070 SUPER,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2070+SUPER&id=4116,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2070+SUPER&id=4116,(48%),34.5,18110,524.99
GeForce GTX 750,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+750&id=2825,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+750&id=2825,(47%),34.0,3399,99.99
GeForce GTX 460,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+460&id=31,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+460&id=31,(46%),33.1,2290,69.22
GeForce GTX 1060 3GB,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1060+3GB&id=3566,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1060+3GB&id=3566,(45%),32.2,9651,299.99
Radeon RX 580,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+580&id=3736,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+580&id=3736,(42%),30.5,8842,289.99
Quadro K620,https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+K620&id=2950,https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+K620&id=2950,(42%),30.2,2265,74.99
GeForce GTX 780,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+780&id=2525,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+780&id=2525,(41%),29.6,7997,269.99
GeForce GTX 970,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+970&id=2954,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+970&id=2954,(40%),28.7,9733,339.00
GeForce GTX 860M,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+860M&id=2866,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+860M&id=2866,(38%),27.2,3101,114.00
GeForce GTX 950,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+950&id=3295,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+950&id=3295,(38%),27.1,5398,199.00
GeForce GTX 480,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+480&id=100,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+480&id=100,(38%),27.1,4067,149.99
GeForce RTX 2080 SUPER,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2080+SUPER&id=4123,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2080+SUPER&id=4123,(38%),27.1,19485,719.99
GeForce GTX 1050,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1050&id=3596,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1050&id=3596,(36%),26.1,5215,199.99
GeForce GTX 960,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+960&id=3114,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+960&id=3114,(36%),25.6,6022,234.95
Radeon RX 6800,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6800&id=4314,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6800&id=4314,(35%),25.6,20995,819.99
GeForce GTX 750 Ti,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+750+Ti&id=2815,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+750+Ti&id=2815,(35%),25.5,3929,154.00
GeForce GTX 770,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+770&id=2531,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+770&id=2531,(33%),23.9,5870,245.55
